,Player,Pos,Tm,Age,Tm,AST,STL,BLK,PTS,FG,FGA
333,Tyler Johnson,SG,BRK,27,BRK,24,4,1,96,32,79
334,Nikola Jokić,C,DEN,24,DEN,512,85,44,1456,565,1071
335,Damian Jones,C,ATL,24,ATL,35,26,40,306,121,178
336,Derrick Jones Jr.,SF,MIA,22,MIA,62,58,38,500,184,349
337,Tyus Jones,PG,MEM,23,MEM,285,59,6,484,197,429
338,DeAndre Jordan,C,BRK,31,BRK,105,18,52,465,191,287
339,Cory Joseph,PG,SAC,28,SAC,251,53,21,458,171,412
340,Mfiondu Kabengele,C,LAC,22,LAC,2,2,2,42,14,32
341,Frank Kaminsky,C,PHO,26,PHO,75,14,10,378,138,307
342,Enes Kanter,C,BOS,27,BOS,56,22,41,469,199,348
343,Luke Kennard,SG,DET,23,DET,115,12,6,442,151,342
344,Stanton Kidd,SF,UTA,27,UTA,1,0,0,0,0,3
345,Michael Kidd-Gilchrist,SF-PF,TOT,26,TOT,14,2,6,60,22,66
346,Michael Kidd-Gilchrist,PF,CHO,26,CHO,10,0,3,48,18,53
347,Michael Kidd-Gilchrist,SF,DAL,26,DAL,4,2,3,12,4,13
348,Louis King,SF,DET,20,DET,5,2,0,20,8,21
349,Maxi Kleber,C,DAL,28,DAL,88,25,83,672,237,514
350,Brandon Knight,PG,TOT,28,TOT,69,10,3,183,59,167
351,Brandon Knight,PG,CLE,28,CLE,31,5,2,79,28,86
352,Brandon Knight,PG,DET,28,DET,38,5,1,104,31,81
353,Kevin Knox,SF,NYK,20,NYK,61,23,28,419,144,401
354,John Konchar,SG,MEM,23,MEM,22,7,3,54,24,37
355,Furkan Korkmaz,SG,PHI,22,PHI,79,41,16,704,242,563
356,Luke Kornet,C,CHI,24,CHI,32,11,26,215,82,187
357,Kyle Korver,SF,MIL,38,MIL,68,26,12,386,126,293
358,Rodions Kurucs,PF,BRK,21,BRK,51,25,5,215,79,177
359,Kyle Kuzma,PF,LAL,24,LAL,80,28,26,782,291,668
360,Skal Labissière,C,POR,23,POR,42,7,31,190,81,147
361,Jeremy Lamb,SG,IND,27,IND,96,55,22,577,216,479
362,Romeo Langford,SG,BOS,20,BOS,13,8,8,79,28,80
363,Zach LaVine,SG,CHI,24,CHI,254,88,28,1530,539,1199
364,Vic Law,SF,ORL,24,ORL,3,2,0,15,6,18
365,Jake Layman,PF,MIN,25,MIN,15,17,10,210,81,179
366,T.J. Leaf,PF,IND,22,IND,9,10,4,84,36,86
367,Jalen Lecque,PG,PHO,19,PHO,2,0,0,10,4,10
368,Courtney Lee,SG,DAL,34,DAL,12,18,6,107,40,82
369,Damion Lee,SG,GSW,27,GSW,133,50,6,621,213,511
370,Alex Len,C,TOT,26,TOT,50,23,48,438,177,319
371,Alex Len,C,ATL,26,ATL,42,20,33,349,142,260
372,Alex Len,C,SAC,26,SAC,8,3,15,89,35,59
373,Kawhi Leonard,SF,LAC,28,LAC,280,103,33,1543,532,1133
374,Meyers Leonard,C,MIA,27,MIA,55,14,15,309,119,234
375,Caris LeVert,SG,BRK,25,BRK,199,53,10,842,311,732
376,Damian Lillard,PG,POR,29,POR,530,70,22,1978,624,1349
377,Nassir Little,PF,POR,19,POR,22,13,14,172,65,151
378,Kevon Looney,C,GSW,23,GSW,20,12,6,68,29,79
379,Brook Lopez,C,MIL,31,MIL,99,46,163,813,292,671
380,Robin Lopez,C,MIL,31,MIL,45,10,45,357,147,299
381,Kevin Love,PF,CLE,31,CLE,178,33,19,987,327,727
382,Kyle Lowry,PG,TOR,33,TOR,433,82,26,1126,334,803
383,Timothé Luwawu-Cabarrot,SG,BRK,24,BRK,29,18,7,365,117,269
384,Trey Lyles,PF,SAS,24,SAS,69,28,28,404,153,343
